S. No.,DISTRICT NAME,Actual R/F (mm),Normal R/F (mm),Departure
1,ARARIA,1322.6,1374.6,-4
2,ARWAL,406.2,705.2,-42
3,AURANGABAD,611.9,859,-29
4,BANKA,596.4,870.6,-31
5,BEGUSARAI,641.3,1009.5,-36
6,BHABUA,613.8,890.2,-31
7,BHAGALPUR,400.1,970.2,-59
8,BHOJPUR,613.5,889.3,-31
9,BUXAR,544.2,785.4,-31
10,DARBHANGA,620.8,899.6,-31
11,EAST CHAMPARAN,723.2,1055.2,-31
12,GAYA,561.4,828.3,-32
13,GOPALGANJ,669.3,968.6,-31
14,JAHANABAD,538.4,832.9,-35
15,JAMUI,602.5,936.4,-36
16,KATIHAR,556.8,1078.9,-48
17,KHAGARIA,531.3,971.3,-45
18,KISHANGANJ,1643,1746.2,-6
19,LAKHISARAI,390.5,850.3,-54
20,MADHEPURA,732.4,1046.3,-30
21,MADHUBANI,668.9,972.1,-31
22,MONGHYR,549.6,1019.9,-46
23,MUZAFFARPUR,698.7,967.8,-28
24,NALANDA,610.9,852.8,-28
25,NAWADA,666.7,826.5,-19
26,PATNA,589.2,886.9,-34
27,PURNEA,971.1,1411.8,-31
28,ROHTAS,522.2,842.3,-38
29,SAHARSA,556.8,1083.3,-49
30,SAMASTIPUR,673.9,945.7,-29
31,SARAN,454.3,899.4,-49
32,SHEIKHPURA,404.9,818,-51
33,SHEOHAR,571.9,1008.7,-43
34,SITAMARHI,496.1,1060.3,-53
35,SIWAN,755.9,901,-16
36,SUPAUL,1002.1,1085.7,-8
37,VAISHALI,662.4,905.4,-27
38,WEST CHAMPARAN,972.3,1232.2,-21
